title,year,journal,doi,volume,authors,url,language,abstract,category,type,focus,Cfoc_1,Cfoc_2,Cfoc_3,Cmult_foc,Ofoc_1,Ofoc_2,Ofoc_3,Omult_foc,location,sub_location,mult_location,international,life_history_stage,study_duration,experiment_type,nat_product_benefit,keywords,recommendation
Cytotoxic dolabellane diterpenes from the Formosan soft coral Clavularia inflata,2001,Journal of Natural Products,10.1021/np010106n,64,"Duh, C.-Y. and Chia, M.-C. and Wang, S.-K. and Chen, H.-J. and El-Gamal, A.A.H. and Dai, C.-F.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034861473&doi=10.1021%2fnp010106n&partnerID=40&md5=7894a78dd7cb3435545d611fc17781f3,english,"Six new cytotoxic dolabellane diterpenes, (1R*,12R*)-dolabella-4(16),7,10-triene-3,13-dione (1), (1R*,7R*,8S*,-12R*)-dolabella-4(16),10-diene-7,8- epoxy- 3,13-dione (2), (1R*,10R*,11S*,12R*)-dolabella-4(16),7-diene-10, 11-epoxy-3,13-dione (3), (1R*)-dolabella-4(16),7,11(12)-triene-3,13-dione (4), (1R*,3R*)-3-hydroxydolabella-4(16),7,11(12)-triene-3,13-dione (5), and (1R*,7R*)-7-hydroperoxydolabella-4(16),8(17),11(12)-triene-3, 13-dione (6), have been isolated from the Formosan soft coral Clavularia inflata. The structures of compounds 1-6 were determined by 1D and 2D spectral analysis, and their cytotoxicity against selected cancer cells was measured in vitro.",natural_products,octocoral,single,clavularia_inflata,NA,NA,NA,NA,NA,NA,NA,offshore_island,orchid_island,NA,N,adult,undefined,laboratory,cancer,NA,NA
Water temperature records from corals near the nuclear power plant in southern Taiwan,2001,"Science in China, Series D: Earth Sciences",10.1007/BF02907106,44,"Chen, Chen-Tung and Wang, Chung-Ho and Soong, Ker-Yea and Wang, Bing-Jye",https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035300217&doi=10.1007%2fBF02907106&partnerID=40&md5=91d9662f18183a3362d0f709209cd08c,english,"Coral samples collected at the outlet and the inlet of the Third Nuclear Power Plant were measured for the Œ¥18O and Œ¥13C, indicating the surrounding seawater temperature and physiological/biochemical reactions during coral skeletal growth. The results show that with higher seawater temperature in summer, the values of Œ¥18O are lower but those for Œ¥13C are higher; however, the Œ¥18O extremes lag six weeks behind the Œ¥13C extremes because the highest water temperature lags the maximum number of sunshine hours. Records of the extreme high temperature observed in the northern South China Sea between Oct. 1987 and Sep. 1988, and the extraordinary low temperature from Oct. 1992 to Feb. 1993 are also preserved in the coralline isotope signals. However, when the water temperature becomes too high the coral growth seems to stop.",other_stressor,scleractinian,single,porites_sp,NA,NA,NA,NA,NA,NA,NA,south,outlet_reef,NA,N,adult,short,field,NA,"The Third Nuclear Power Plant, coral, water temperature, ENSO",NA
"Unexpectedly high coral coverage in Chinwan Inner Bay, Pescadores: a proposed site for a Marine Protection Area",2001,CORAL REEFS,10.1007/s003380100169,20,"Hsieh, HJ and Lu, YL and Tsai, WS and Wei, NV and Jeng, MS and Chen, CA",NA,english,NA,mpa,scleractinian,community,NA,NA,NA,NA,NA,NA,NA,NA,offshore_island,penghu,NA,N,adult,long,field,NA,NA,further_research
"Junceol A, a new sesquiterpenoid from the sea pen Virgularia juncea",2001,Journal of Natural Products,10.1021/np010192r,64,"Chen, S.-P. and Sung, P.-J. and Duh, C.-Y. and Dai, C.-F. and Sheu, J.-H.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034786911&doi=10.1021%2fnp010192r&partnerID=40&md5=c6b2201e7a3fd0598fd64f0f0fd685cf,english,"A new sesquiterpenoid, junceol A(1), as well as two known diterpenoids, sclerophytin A (2) and cladiellisin (3), have been isolated from the sea pen octocoral Virgularia juncea. The structure of metabolite 1 was determined by extensive spectral analysis. Compounds 1-3 have been shown to exhibit cytotoxicity toward P-388 cancer cells.",natural_products,octocoral,single,virgularia_juncea,NA,NA,NA,NA,NA,NA,NA,offshore_island,penghu,NA,N,adult,undefined,laboratory,cancer,NA,NA
New cadinene sesquiterpenoids from the Formosan soft coral Xenia puerto-galerae,2002,Journal of Natural Products,10.1021/np0203281,65,"Duh, Chang-Yih and Chien, Shih-Chao and Song, Pei-Ying and Wang, Shang-Kwei and El-Gamal, Ali Ali H. and Dai, Chang-Feng",https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036924288&doi=10.1021%2fnp0203281&partnerID=40&md5=f96dbac3442b13dbd3163ba39894d29d,english,"Six new cadinene sesquiterpenoids, xenitorins A-F (1-6), were isolated from the methylene chloride solubles of the Formosan soft coral Xenia puerto-galerae. The structures were elucidated by 1D and 2D NMR spectral analysis, and their cytotoxicity against selected cancer cells was measured in vitro.",natural_products,octocoral,single,xenia_puertogalerae,NA,NA,NA,NA,NA,NA,NA,offshore_island,green_island,NA,N,adult,undefined,laboratory,cancer,NA,NA
New cytotoxic Xenia diterpenoids from the Formosan soft coral Xenia umbellata,2002,Journal of Natural Products,10.1021/np020268z,65,"Duh, Chang-Yih and El-Gamal, Ali Ali H. and Chiang, Chin-Ying and Chu, Chih-Ju and Wang, Shang-Kwei and Dai, Chang-Feng",https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036931607&doi=10.1021%2fnp020268z&partnerID=40&md5=b8c3c3bb0150820ccf63f80b9f5c1fdb,english,"Seven new cytotoxic xenicane-type diterpenoids, 9-deoxyxeniloide-E (1), 9-deoxy-7,8-epoxyxeniloide-E (2), xeniolide-G (3), 9-deoxyxenialactol-C (4), xenibecin (5), xeniolide-H (6), and xenitacin (7), were isolated from the methylene chloride solubles of the Formosan soft coral Xenia umbellata. The structures were elucidated by 1D and 2D NMR spectral analysis, and their cytotoxicity against selected cancer cells was measured in vitro.",natural_products,octocoral,single,xenia_umbellata,NA,NA,NA,NA,NA,NA,NA,offshore_island,green_island,NA,N,adult,undefined,laboratory,NA,NA,NA
New cytotoxic constituents from the formosan soft corals Clavularia viridis and Clavularia violacea,2002,Journal of Natural Products,10.1021/np0201873,65,"Duh, Chang-Yih and El-Gamal, Ali Ali H. and Chu, Chih-Ju and Wang, Shang-Kwei and Dai, Chang-Feng",https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036854760&doi=10.1021%2fnp0201873&partnerID=40&md5=b948fd4d9dbf4cf450fcaf77ab4cc2fb,english,"Three new cytotoxic prostanoids, claviridenone E-G (1-3), and three new cytotoxic steroids, stoloniferone E-G (4-6), were isolated from the methylene chloride solubles of the Formosan soft coral Clavularia viridis. A cytotoxic cembranoid, claviolide (7), was isolated from the methylene chloride solubles of the Formosan soft coral Clavularia violacea. The structures were elucidated by 1D and 2D NMR spectral analysis, and their cytotoxicity against selected cancer cells was measured in vitro.",natural_products,octocoral,single,clavularia_viridis,clavularia_violacea,NA,NA,NA,NA,NA,NA,offshore_island,green_island,NA,N,adult,undefined,laboratory,cancer,NA,NA
Two new subergane-based sesquiterpenes from a Taiwanese Gorgonian coral Subergorgia suberosa,2002,Journal of Natural Products,10.1021/np0106586,65,"Wang, Guey-Horng and Ahmed, Atallah F. and Kuo, Yao-Haur and Sheu, Jyh-Horng",https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036321336&doi=10.1021%2fnp0106586&partnerID=40&md5=ed9b386c6cc73144e61351efa6f9cfa7,english,"Chemical investigation of the ethyl acetate extract of the Taiwanese Gorgonian coral Subergorgia suberosa has resulted in the isolation of two new subergane-based sesquiterpenes, subergorgiol (1) and 2Œ?-acetoxysubergorgic acid (2), along with four known compounds, subergorgic acid methyl ester (3), 2Œ?-acetoxy methyl ester of subergorgic acid (4), 2Œ?-hydroxysubergorgic acid (5), and subergorgic acid (6). The structures of the new metabolites 1 and 2 were determined on the basis of extensive spectral analyses. Subergorgiol (1) may be the biosynthetic precursor of 2-6. Compound 3 was found to exhibit moderate cytotoxicity against the growth of HeLa cancer cells.",natural_products,octocoral,single,subergorgia_suberosa,NA,NA,NA,NA,NA,NA,NA,offshore_island,green_island,NA,N,adult,undefined,laboratory,NA,NA,NA
"Suberosols A-D, four new sesquiterpenes with Œ?-caryophyllene skeletons from a Taiwanese gorgonian coral Subergorgia suberosa",2002,Journal of Natural Products,10.1021/np010586i,65,"Wang, Guey-Horng and Ahmed, Atallah F. and Sheu, Jyh-Horng and Duh, Chang-Yih and Shen, Ya-Ching and Wang, Li-Tang",https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036300639&doi=10.1021%2fnp010586i&partnerID=40&md5=877a3521f387e03eeac0b7f78018894e,english,"Four new Œ?-caryophyllene-derived sesquiterpenes alcohols, suberosols A (1), B (2), C (3), and D (4), along with two known Œ?-caryophyllene-derived sesqueterpene ketones, buddledins C (5) and D (6), were isolated from a Taiwanese gorgonian coral Subergorgia suberosa. The structures of 1-4 were determined on the basis of extensive spectroscopic analyses. Cytotoxicity of these compounds toward various cancer cell lines is also described.",natural_products,octocoral,single,subergorgia_suberosa,NA,NA,NA,NA,NA,NA,NA,offshore_island,green_island,NA,N,adult,undefined,laboratory,NA,NA,NA
"Scabrolides A-D, four new norditerpenoids isolated from the soft coral Sinularia scabra",2002,Journal of Natural Products,10.1021/np020280r,65,"Sheu, Jyh-Horng and Ahmed, Atallah F. and Shiue, Ru-Ting and Dai, Chang-Feng and Kuo, Yao-Haur",https://www.scopus.com/inward/record.uri?eid=2-s2.0-12244257495&doi=10.1021%2fnp020280r&partnerID=40&md5=425fd7dec7b6bd91371d7cc2012932d9,english,"Four new norditerpenoids, scabrolides A-D (1-4), along with four known ones, 5-8, have been isolated from the dichloromethane extract of the Taiwanese soft coral Sinularia scabra. The structures of 1-4 were elucidated on the basis of extensive spectroscopic analyses, while the relative configurations were determined by the NOESY experiments. The epimeric metabolites 6 and 7 have been shown to exhibit strong cytotoxic activity against KB and Hepa59T/VGH cancer cell lines.",natural_products,octocoral,single,sinularia_scabra,NA,NA,NA,NA,NA,NA,NA,south,kenting_national_park,NA,N,adult,undefined,laboratory,cancer,Alkyls; Carbon; Carbonyls; Metabolism; Toxicity,NA
"Modeling the effects of satiation on the feeding rate of a colonial suspension feeder, <i>Acanthogorgia vegae</i>, in a circulating system under lab conditions",2002,ZOOLOGICAL STUDIES,NA,41,"Lin, MC and Liao, CM and Dai, CF",NA,english,"We developed a mathematical model, based on observations relating to feeding behavior of the gorgonian Acanthogorgia vegae, to characterize the feeding rates of colonial suspension feeders in a circulating system. We found that simultaneously none of all the polyps belonging to the same colony of A. vegae showed a feeding response after capturing a certain amount of Artemia nauplii. Equations in terms of the satiation factor were derived to predict feeding rates of colonial suspension feeders. Flume experiments were conducted under different ambient flow regimes to test the application of the equations. Good agreement between the results of the experiments and the predictions was evident. The results of this study show that satiation is an important factor influencing the feeding rate of colonial suspension feeders with an abundant food supply and a closed system of water. Furthermore, our study shows that the feeding rate of colonial suspension feeders in a circulating system can easily be calculated from the residual number of prey items at various times, even when the initial numbers of prey items and feeding animals are unknown. Our model is useful as a good methodological tool to estimate the feeding rate of colonial suspension feeders in the laboratory or aquacultural environments.",dynamics,octocoral,single,acanthogorgia_vegae_aurivillus,NA,NA,NA,NA,NA,NA,NA,south,kenting_national_park,NA,N,adult,undefined,computational,NA,colonial suspension feeder; feeding; Gorgonian; mathematical modeling; satiation,NA
Analysis of the mitochondrial 12S rRNA gene supports a two-clade hypothesis of the evolutionary history of scleractinian corals,2002,MOLECULAR PHYLOGENETICS AND EVOLUTION,10.1016/S1055-7903(02)00008-8,23,"Chen, CA and Wallace, CC and Wolstenholme, J",https://www.sciencedirect.com/science/article/pii/S1055790302000088?casa_token=I3iEEtWTEKwAAAAA:OKKeY2kvrE0LAO-BhD86jgfx3f-BQ3tt6i_1Tz-9nWHHpAR1mNeqH0AN5SY0bxRK3BkzmwCphx4,english,"Scleractinian corals have long been assumed to be a monophyletic group characterized by the possession of an aragonite skeleton. Analyses of skeletal morphology and molecular data have shown conflicting patterns of suborder and family relationships of scleractinian corals, because molecular data suggest that the scleractinian skeleton could have evolved as many as four times. Here we describe patterns of molecular evolution in a segment of the mitochondrial (mt) 12S ribosomal RNA gene from 28 single, of scleractinian corals and use this gene to infer the evolutionary history of scleractinians. We show that the sequences obtained fall into two distinct clades, defined by PCR product length. Base composition among taxa did not differ significantly when the two clades were considered separately or as a single group. Overall, transition substitutions accumulated more quickly relative to transversion substitutions within both clades. Spatial patterns of substitutions along the 12S rRNA gene and likelihood ratio tests of divergence rates both indicate that the 12S rRNA gene of each clade evolved under different constraints. Phylogenetic analyses using mt 12S rRNA gene data do not support the current view of scleractinian phylogeny based upon skeletal morphology and fossil records. Rather, the two-clade hypothesis derived from the rut 16S ribosomal gene is supported. (C) 2002 Elsevier Science (USA). All rights reserved.",taxonomy,scleractinian,community,NA,NA,NA,acropora_brueggemanni; acropora_cervicornis; acropora_cuneata; acropora_digitifera; acropora_muricata; acropora_palifera; acropora_tenuis; acropora_togianensis; acropora_togianesis; anacropora_sp; astreopora_myriophthalma; cyphastrea_chalcidicum; favia_favus; favites_abdita; galaxea_astreata; hydnophora_exesa; merulina_ampliata; montastrea_valenciennesi; montipora_aequituberculata; montipora_digitifera; mycedium_elephantotus; oulastrea_crispata; pavona_frondifera; platygyra_sinensis; pocillopora_damcornis; stylophora_pistillata; tubastrea_aurea,NA,NA,NA,NA,multiple,NA,kenting_national_park; penghu,N,adult,undefined,laboratory,NA,scleractinia; mitochondrial 12S ribosomal RNA gene; skeleton; phylogeny,NA
Lunar periodicity of larval release by pocilloporid corals in Southern Taiwan,2002,Zoological Studies,NA,41,"Fan, Tung-Yung and Li, Jan-Jung and Ie, Sheng-Xian and Fang, Lee-Shing",https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036394520&partnerID=40&md5=f6cb5a4725982a9271e2010d13f589df,english,"Lunar patterns of larval release by 3 brooding corals, Seriatopora hystrix, Pocillopora damicornis, and Stylophora pistillata, in southern Taiwan were investigated. Corals were collected and maintained in outdoor, flow-through systems to quantify nightly release of larvae. Planulation of S. hystrix and P. damicornis revealed a well-defined lunar pattern with planulae being released during the new moon and 1st quarter. Planulation of S. pistillate occurred throughout the lunar phase, but more planulae were released in the 2nd-quarter moon phase. It is likely that the lunar periodicity in planulation of the 3 pocilloporid coral single is a result of lunar periodicity in gamete and larval development. Larvae of S. hystrix and S pistillata released later had higher rates of settlement within 24 h on plastic petri dishes. Based on the reproduction and settlement information available, it would be practical to obtain a large number of competent planulae, seed them on suitable substrata, and then transfer them to reefs for restoring damaged coral populations and communities.",reproduction,scleractinian,multiple,seriatopora_hystrix,pocillopora_damicornis,stylophora_pistillata,NA,NA,NA,NA,NA,south,nanwan_bay,NA,N,multiple,mid,laboratory,NA,NA,restoration
"Genotyping the clonal population structure of a gorgonian coral, Junceella fragilis (Anthozoa: Octocorallia: Ellisellidae) from Lanyu, Taiwan, using simple sequence repeats in ribosomal intergenic spacer",2002,Zoological Studies,NA,41,"Chen, Chaolun Allen and Wei, Nuwei Vivian and Dai, Chang-Feng",https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036396008&partnerID=40&md5=02f8e4090240870cf4c27fbcae724ffb,english,"Asexual reproduction allows clonal genotypes to dominate a space and plays an important role in the ecology and evolutionary biology of many anthozoans. To analyze the contribution of clonality to local population structure requires genetic markers that can identify individual clones (genets). We explored the possibility of developing coral-specific PCR primers to amplify a region of tetranucleotide simple sequence repeats (SSRs, also known as microsatellites) in the ribosomal intergenic spacer (IGS) region. A primer set for PCR amplification of the IGS-SSR, A(C/G)(A/C)G, was designed and applied to investigate the clonal structure of 30 colonies of the gorgonian coral, Junceella fragilis, from Lanyu (Orchid Island) off southeastern Taiwan in 1999. In total, 12 scorable bands (length variants) and 2 distinct genotypes were identified Of the colonies sampled, 66 67% represented a single dominant genotype Low genotypic diversity revealed by several indices (G0, G0¬?GE, and Nc / N) supports the scenario that the success of J. fragilis around Lanyu is likely due to vegetative propagation. The presence of 2 distinct genotypes sharing no common IGS length variants indicates that these 2 genotypes may have played the role of founders in structuring the Lanyu local population. The present study highlights the potential utility of IGS-SSR PCR techniques in delineating clonal diversity in J. fragilis populations on both local and global scales.",taxonomy,octocoral,single,junceella_fragilis,NA,NA,NA,NA,NA,NA,NA,offshore_island,orchid_island,NA,N,adult,short,laboratory,NA,NA,NA
Novel terpenoids from the Formosan soft coral <i>Cespitularia hypotentaculata</i>,2002,JOURNAL OF NATURAL PRODUCTS,10.1021/np020077w,65,"Duh, CY and El-Gamal, AAH and Wang, SK and Dai, CF",NA,english,"Four new cytotoxic diterpenes, cespitularins A-D (1-4), having the verticillane skeleton, a new cytotoxic norditerpene, cesputularin E (5), that possesses a novel norverticillane skeleton, and three new diterpenes, cespitularins F-H (6-8), possessing a novel carbon skeleton named cespitularane, were isolated from the methylene chloride solubles of the Formosan soft coral Cespitularia hypotentaculata. The structures of cespitularins A-H (1-8) were elucidated by 1D and 2D NMR spectral analysis, and their cytotoxicity against selected cancer cells was measured in vitro.",natural_products,octocoral,single,cespitularia_hypotentaculata,NA,NA,NA,NA,NA,NA,NA,offshore_island,orchid_island,NA,N,adult,undefined,laboratory,NA,NA,NA
"Hippuristerones E-I, new polyoxygenated steroids from the Gorgonian coral Isis hippuris",2003,Journal of Natural Products,10.1021/np020602r,66,"Sheu, Jyh-Horng and Huang, Long-Fei and Chen, Shin-Pin and Yang, Yi-Lea and Sung, Ping-Jyun and Wang, Guey-Horng and Su, Jui-Hsin and Chao, Chih-Hua and Hu, Wan-Ping and Wang, Jeh-Jeng",https://www.scopus.com/inward/record.uri?eid=2-s2.0-10744220405&doi=10.1021%2fnp020602r&partnerID=40&md5=75d4e2cb66c85322ffe28549663e3968,english,"Five novel (22R,23S,24S)-steroids, hippuristerones E-I (1-5), have been isolated from the gorgonian coral Isis hippuris. The structures of steroids 1-5 were deduced by extensive 1D and 2D NMR studies (1H, 13C, 1H-1H COSY, HMQC, HMBC, and NOESY experiments). The structure of 1 was further supported by molecular mechanics calculations.",natural_products,octocoral,single,isis_hippuris,NA,NA,NA,NA,NA,NA,NA,offshore_island,green_island,NA,N,adult,undefined,laboratory,steroid,NA,NA
New dolabellanes from the Taiwanese soft coral <i>Clavularia inflata</i>,2003,JOURNAL OF THE CHINESE CHEMICAL SOCIETY,10.1002/jccs.200300074,50,"Shen, YC and Pan, YL and Ko, CL and Kuo, YH and Chen, CY",NA,english,"Bioassay-directed fractionation of the acetone extract of Clavularia inflata collected in Green Island has afforded two new dolabellane diterpenoids, designated as clavinflols A (4) and B (5) in addition to the reported (1R{*}, 12R{*})-dolabella-4(16),7,10-triene-3,13-dione (1), stolonidiol (2) and stolonidiol monoacetate (3). The structures of compounds 4 and 5 were determined on the basis of 1D and 2D-NMR techniques including COSY, HSQC, HMBC and NOESY experiments, and acetylation which yielded derivatives 6 and 7, respectively. Pharmacological study revealed that compounds 1-3 and 5 exhibited cytotoxicity against human oral epidermoid carcinoma (KB) cells while compound 4 showed selective activity toward human Hepa cells.",natural_products,octocoral,single,clavularia_inflata,NA,NA,NA,NA,NA,NA,NA,offshore_island,green_island,NA,N,adult,undefined,laboratory,NA,soft coral; Clavularia inflata; dolabellanes,NA
Coral transplantation: Regeneration and growth of Acropora fragments in a nursery,2003,Restoration Ecology,10.1046/j.1526-100X.2003.00100.x,11,"Soong, Keryea and Chen, Tai-an",https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037368035&doi=10.1046%2fj.1526-100X.2003.00100.x&partnerID=40&md5=82a8c84d8b5d38ff8b0c8d556bab1dda,english,"Coral reef degradation has been widely reported for the past 20 years. Because the recovery rate is usually low, various methods of restoration have been explored in different regions of the world. Among the effective and commonly used methods to restore coral communities is the transplantation of coral colonies or fragments. In this investigation fragments of Acropora pulchra were used in a semiprotected nursery in southern Taiwan between 1996 and 1998 to test, in situ, the possible effects of different factors on the generation of new branches and the initial skeletal extension rates of transplants. The variables under study here were the origin and length of the fragments, their new orientation, presence of tissue injury, and position in the fragment. All these factors were found to make a difference in either one or both aspects of coral growth (i.e., branching frequency and skeletal extension rate). These two factors clearly determine the success rate of a small fragment developing into a large colony that has a much higher probability to survive and grow on its own. It is now obvious that the efficiency of coral generation through fragment culture can be enhanced if the variables examined here are taken into consideration. Once coral colonies are formed, they can be fragmented again to generate more corals or can be transplanted to a suitable site.",restoration,scleractinian,single,acropora_pulchra,NA,NA,NA,NA,NA,NA,NA,south,kenting_national_park,NA,N,adult,long,field,NA,NA,NA
"Juncenolide E, a new briarane from Taiwanese gorgonian Junceella juncea",2003,Journal of the Chinese Chemical Society,10.1002/jccs.200300182,50,"Shen, Ya-Ching and Lin, Yu-Chi and Huang, Yeh-Li",https://www.scopus.com/inward/record.uri?eid=2-s2.0-14844327415&doi=10.1002%2fjccs.200300182&partnerID=40&md5=cc2f8f2344ca313c111ef6695acb36d0,english,"In addition to junceellolides B (3) and C (4), a new briarane, juncenolide E(1) has been isolated from the acetone extract of the red gorgonian Junceella juncea, collected on the southern coast of Taiwan. The structure of juncenolide E was determined by interpretation of MS, COSY, HMQC, HMBC and NOESY spectra.",natural_products,octocoral,single,junceella_juncea,NA,NA,NA,NA,NA,NA,NA,south,kenting_national_park,NA,N,adult,undefined,laboratory,NA,Junceella juncea; Juncenolide E; Briarane,NA
New briaranes from the Taiwanese Gorgonian Junceella juncea,2003,Journal of Natural Products,10.1021/np0203584,66,"Shen, Ya-Ching and Lin, Yu-Chi and Ko, Chin-Lien and Wang, Li-Tang",https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037331845&doi=10.1021%2fnp0203584&partnerID=40&md5=906be8649417a11edffb187638240ea7,english,"In addition to the known junceelolide C (4), three new briaranes, juncenolides B (1), C (2), and D (3), have been isolated from the acetone extract of a red Gorgonian Junceella juncea collected in Taiwan. The structures of 1-3 were elucidated on the basis of FABMS and 2D NMR techniques including COSY, HMQC, HMBC, and NOESY experiments. Among them, compound 2 exhibited mild cytotoxicity against human liver carcinoma (HEPA 59T/VGH) and oral epidermoid (KB) carcinoma cells.",natural_products,octocoral,single,junceella_juncea,NA,NA,NA,NA,NA,NA,NA,south,kenting_national_park,NA,N,adult,undefined,laboratory,NA,NA,NA
Five novel norcembranoids from Sinularia leptoclados and S. parva,2003,Tetrahedron,10.1016/S0040-4020(03)01138-4,59,"Ahmed, Atallah F. and Shiue, Ru-Ting and Wang, Guey-Horng and Dai, Chang-Feng and Kuo, Yao-Haur and Sheu, Jyh-Horng",https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042382984&doi=10.1016%2fS0040-4020%2803%2901138-4&partnerID=40&md5=442e0058dcaf624da5aa111fdbcd340a,english,"Three new norcembrane-based diterpenoids, leptocladolides A (1), B (4) and C (5), along with five known metabolites 6-10, have been isolated from the dichloromethane extract of a Taiwanese soft coral Sinularia leptoclados. Furthermore, a chemical investigation on the dichloromethane extract of S. parva has resulted in the isolation of two new related isomers, 1-epi-leptocladolide A (2) and 7E-leptocladolide A (3), in addition to 1 and 7. The structures of new metabolites 1-5 were elucidated on the basis of extensive spectroscopic analyses and their relative stereochemistries were determined by NOESY experiments. The new metabolites 1 and 3 have been shown to exhibit significant cytotoxic activity against KB and Hepa59T/VGH cancer cell lines. ¬© 2003 Elsevier Ltd. All rights reserved.",natural_products,octocoral,single,sinularia_leptoclados,sinularia_parva,NA,NA,NA,NA,NA,NA,south,kenting_national_park,NA,N,adult,undefined,laboratory,NA,"Sinularia leptocladosS, parva, leptocladolide A–C, 1-epi-leptocladolide, 7E-leptocladolide, soft coral",NA
"1Œ±,3Œ?,5Œ?-Trihydroxy-24-methylenecholestan-6-one:: a novel steroid from a soft coral <i>Sinularia gibberosa</i>",2003,STEROIDS,10.1016/S0039-128X(03)00036-9,68,"Ahmed, AF and Dai, CF and Kuo, YH and Sheu, JH",NA,english,"A novel steroid, 1alpha,3beta,5beta-trihydroxy-24-methylenecholestan-6-one(gibberoketoste rol)(1), along with four known steroids, was isolated from the lipophilic extracts of a Taiwanese soft coral Sinularia gibberosa. The structure of the new metabolite was determined on the basis of extensive spectral analyses and chemical reaction. The relative stereochemistry of gibberoketosterol was established by the NOESY experiments and analysis of the pyridine-induced deshielding effect of the axial hydroxy groups. Gibberoketosterol is the first example of 1alpha,3beta,5beta-trihydroxy-6-oxosteroids isolated from natural sources and was found to exhibit a moderate cytotoxicity against the growth of Hepa59T/VGH cancer cells. (C) 2003 Elsevier Science Inc. All rights reserved.",natural_products,octocoral,single,sinularia_gibberosa,NA,NA,NA,NA,NA,NA,NA,south,kenting_national_park,NA,N,adult,undefined,laboratory,steroid,Sinularia gibberosa; 1 alpha;3 beta;5 beta-trihydroxy-24-methylenecholestan-6-one; gibberoketosterol; soft coral; cytotoxicity,NA
"Pachyclavulariolides M-R, six novel diterpenoids from a Taiwanese soft coral <i>Pachyclavularia violacea</i>",2003,JOURNAL OF NATURAL PRODUCTS,10.1021/np020603j,66,"Sheu, JH and Wang, GH and Duh, CY and Soong, K",NA,english,"Six novel diterpenoids, pachyclavulariolides M-R (1-6), have been isolated from a Taiwanese soft coral Pachyclavularia violacea. The structures and relative stereochemistry of compounds 1-6 were established by spectroscopic analyses. Compound 1 has been shown to exhibit significant cytotoxicity toward P-388 cancer cells. Biosynthesis of 4-6 is discussed.",natural_products,octocoral,single,pachyclavularia_violacea,NA,NA,NA,NA,NA,NA,NA,south,kenting_national_park,NA,N,adult,undefined,laboratory,NA,NA,NA
New cembranolide analogues from the formosan soft coral <i>Sinularia flexibilis</i> and their cytotoxicity,2003,NATURAL PRODUCT RESEARCH,10.1080/14786910310001617677,17,"Hsieh, PW and Chang, FR and McPhail, AT and Lee, KH and Wu, YC",NA,english,"Using a bioactivity-guided fractionation procedure, five cembranolides, 11-epi-sinulariolide acetate (1), 11-dehydrosinulariolide (2), sinulariolide (3), dihydrosinularin (4), and 3,4: 8,11-bisepoxy-7-acetoxycembra-15(17)-en-1,12-olide ( 5), along with two nucleosides, 2'-deoxyadenosine and thymidine, were isolated from the Formosan soft coral Sinularia flexibilis. Moreover, 7,8-epoxy-11-epi-sinulariolide acetate (1a), 11-sinulariolide acetate (3a), dihydrosinulariolide (3b), 3,4: 8,11-bisepoxy-7-hydroxycembra-15(17)-en-1,12-olide (3c), 11-acetoxyl-15(17)-dihydrosinulariolide (3d), 7,8-epoxy-11-sinulariolide acetate (3e), and 3,4: 8,11-bisepoxy-7-hydroxycembra-15( 17)-dihydro-1,12-olide (3f) were derived from compounds 1 and 3, respectively. These structures were deduced on the basis of physical and chemical evidence. Among them, 1a, 3d, 3e, and 3f are new cembranolide analogues. The structure of compound 1 was further confirmed by X-ray analysis. In addition, the isolated cembranolides and the analogues under went a cytotoxicity assay, and the structure-activity relationship (SAR) of these compounds was studied.",natural_products,octocoral,single,sinularia_flexibilis,NA,NA,NA,NA,NA,NA,NA,south,kenting_national_park,NA,N,adult,undefined,laboratory,cancer,Sinularia flexibilis; cytotoxicity; cembranolides,NA
Spatial and temporal variation of coral recruitment in Taiwan,2003,Coral Reefs,10.1007/s00338-003-0311-8,22,"Soong, Keryea and Chen, Ming-Hui and Chen, Chao-Lun and Dai, Chang-Feng and Fan, Tung-Yung and Li, Jan-Jung and Fan, Honmin and Kou, K. and Hsieh, H.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-0142028873&doi=10.1007%2fs00338-003-0311-8&partnerID=40&md5=aaf5a9c2de85b2491ea92bdbe3ae8400,english,NA,dynamics,scleractinian,multiple,pocillopora_spp,acropora_spp,NA,NA,NA,NA,NA,NA,multiple,NA,xiaoliuqiu; penghu; northeast_coast; green_island; orchid_island; kenting_national_park,N,juvenile,long,field,NA,"Coral, Recruitment, Spatial scale",NA
